n 	 k 	 h[J] 	 h[eV] 
47	1	8.214716959060498e-14	512721.227269127
48	1	8.216020819799813e-14	512802.60768451815
49	1	8.217353853070804e-14	512885.8089022959
50	1	8.218716026102002e-14	512970.8288770302
51	1	8.220107306676267e-14	513057.6655978896
52	1	8.221527663064404e-14	513146.31708449766
53	1	8.222977063981717e-14	513236.78138422134
54	1	8.224455478546975e-14	513329.05656960985
55	1	8.225962876250109e-14	513423.1407363785
56	1	8.22749922692161e-14	513519.03200149856
57	1	8.229064500689235e-14	513616.72850049526
58	1	8.230658667951591e-14	513716.2283857988
59	1	8.232281699347839e-14	513817.5298248536
60	1	8.233933565747676e-14	513920.63099949295
61	1	8.235614238224167e-14	514025.53010424343
62	1	8.237323688024882e-14	514132.2253445232
63	1	8.239061886555967e-14	514240.71493564814
64	1	8.240828805361709e-14	514350.9971015559
65	1	8.242624416111493e-14	514463.07007399254
66	1	8.244448690572992e-14	514576.9320908382
67	1	8.246301600603372e-14	514692.5813955593
68	1	8.248183118142874e-14	514810.016236807
69	1	8.250093215201854e-14	514929.2348676088
70	1	8.252031863838187e-14	515050.235543958
71	1	8.253999036146307e-14	515173.0165241301
72	1	8.255994704255257e-14	515297.5760685601
73	1	8.258018840326633e-14	515423.91243971547
74	1	8.260071416536331e-14	515552.0239009557
75	1	8.262152405057518e-14	515681.90871547005
76	1	8.264261778051355e-14	515813.56514569867
77	1	8.266399507675334e-14	515946.9914538525
78	1	8.268565566090151e-14	516082.1859023425
79	1	8.270759925429429e-14	516219.1467518899
1	2	7.991423817886412e-14	498784.3948798769
2	2	8.141808218613046e-14	508170.6311783349
3	2	8.177556465130707e-14	510401.8565411319
4	2	8.185819990455643e-14	510917.6241405861
5	2	8.187081720342414e-14	510996.37496051716
6	2	8.18714161508213e-14	511000.1132882779
7	2	8.187220456448815e-14	511005.03416899574
8	2	8.1873362556397e-14	511012.2617708185
9	2	8.187487164853262e-14	511021.68076328887
10	2	8.187672155213573e-14	511033.22692915733
11	2	8.187890487527902e-14	511046.8541317394
12	2	8.188141591439248e-14	511062.52677222586
13	2	8.188425013979913e-14	511080.21657865617
14	2	8.188740388752226e-14	511099.90068233444
15	2	8.189087414591385e-14	511121.5602860718
16	2	8.189465840051364e-14	511145.1796958746
17	2	8.189875451992269e-14	511170.74560862506
18	2	8.190316067116848e-14	511198.24658383254
19	2	8.190787525683038e-14	511227.6726512026
20	2	8.191289686813562e-14	511259.0150178858
21	2	8.191822424927457e-14	511292.2658457512
22	2	8.192385627041016e-14	511327.41808292555
23	2	8.192979190677865e-14	511364.4653333499
24	2	8.193603022228024e-14	511403.40175436117
25	2	8.194257035645507e-14	511444.22197540273
26	2	8.194941151375399e-14	511486.9210310576
27	2	8.195655295506012e-14	511531.49430813093
28	2	8.19639939904709e-14	511577.93750059855
29	2	8.197173397334349e-14	511626.2465724418
30	2	8.197977229533858e-14	511676.41772671347
31	2	8.198810838191863e-14	511728.44737743965
32	2	8.19967416886236e-14	511782.3321263753
33	2	8.200567169781681e-14	511838.06874269317
34	2	8.201489791601003e-14	511895.65414628835
35	2	8.202441987139212e-14	511955.08539235365
36	2	8.203423711154826e-14	512016.35965714377
37	2	8.204434920161605e-14	512079.4742264668
38	2	8.205475572246018e-14	512144.4264842913
39	2	8.206545626932905e-14	512211.2139043619
40	2	8.207645045054512e-14	512279.83404202474
41	2	8.208773788621146e-14	512350.28452615475
42	2	8.209931820698037e-14	512422.5630514697
43	2	8.21111910530685e-14	512496.66737238324
44	2	8.212335607355674e-14	512572.59529863525
45	2	8.213581292556019e-14	512650.3446901109
46	2	8.214856127348784e-14	512729.9134522203
47	2	8.21616007883292e-14	512811.29953144595
48	2	8.217493114700576e-14	512894.50091129437
49	2	8.218855203193624e-14	512979.51560958347
50	2	8.220246313066981e-14	513066.34167615254
51	2	8.2216664135286e-14	513154.9771891173
52	2	8.223115474194663e-14	513245.420252073
53	2	8.224593465050792e-14	513337.66899167333
54	2	8.226100356420619e-14	513431.7215556691
55	2	8.227636118940811e-14	513527.576111349
56	2	8.229200723520705e-14	513625.2308430205
57	2	8.230794141315969e-14	513724.6839503657
58	2	8.232416343697617e-14	513825.9336465077
59	2	8.234067302243175e-14	513928.9781574589
60	2	8.235746988716082e-14	514033.8157208355
61	2	8.237455375036631e-14	514140.4445840437
62	2	8.239192433267327e-14	514248.86300336587
63	2	8.240958135592752e-14	514359.06924270384
64	2	8.242752454309162e-14	514471.0615729295
65	2	8.244575361798234e-14	514584.83827024646
66	2	8.24642683051621e-14	514700.397615512
67	2	8.248306832989138e-14	514817.73789394065
68	2	8.250215341803443e-14	514936.8573945152
69	2	8.252152329584035e-14	515057.7544086205
70	2	8.254117768981575e-14	515180.42722924857
71	2	8.256111632669587e-14	515304.8741508187
72	2	8.258133893345878e-14	515431.0934692655
73	2	8.26018452371672e-14	515559.08348105213
74	2	8.262263496479241e-14	515688.84248207073
75	2	8.26437078430963e-14	515820.36876690696
76	2	8.266506359869965e-14	515953.6606292654
77	2	8.268670195820365e-14	516088.7163627286
78	2	8.270862264791553e-14	516225.53425904416
79	2	8.273082539364144e-14	516364.11260683223
1	3	8.150438083683541e-14	508709.2638582145
2	3	8.180897848709614e-14	510610.408862276
3	3	8.186759287272465e-14	510976.25031347695
4	3	8.187143296020377e-14	511000.21820397064
5	3	8.187199812941974e-14	511003.74570534984
6	3	8.187290492554425e-14	511009.4054696991
7	3	8.18741669250181e-14	511017.28223431885
8	3	8.187577035662005e-14	511027.2900461874
9	3	8.187770465412304e-14	511039.3629562411
10	3	8.187996285207621e-14	511053.4574896467
11	3	8.188254014037903e-14	511069.543624181
12	3	8.188543298096234e-14	511087.5992769997
13	3	8.188863862129325e-14	511107.60726817994
14	3	8.189215482220073e-14	511129.5536219446
15	3	8.189597969959007e-14	511153.4265787244
16	3	8.190011162838546e-14	511179.2159956151
17	3	8.190454918145359e-14	511206.9129651699
18	3	8.190929108856036e-14	511236.5095592278
19	3	8.191433620784593e-14	511267.9986508753
20	3	8.191968350464006e-14	511301.3737822221
21	3	8.192533203527458e-14	511336.6290633673
22	3	8.193128093442771e-14	511373.7590934084
23	3	8.193752940477875e-14	511412.7588958716
24	3	8.194407670857536e-14	511453.6238660785
25	3	8.195092216023097e-14	511496.34972494334
26	3	8.195806512019283e-14	511540.93248070026
27	3	8.196550498964916e-14	511587.3683958679
28	3	8.197324120584697e-14	511635.6539580258
29	3	8.198127323830621e-14	511685.7858561848
30	3	8.19896005851986e-14	511737.7609581857
31	3	8.199822277023909e-14	511791.57629129745
32	3	8.20071393399279e-14	511847.2290250028
33	3	8.201634986126254e-14	511904.7164567186
34	3	8.202585391976804e-14	511964.03599950095
35	3	8.20356511175025e-14	512025.18516959704
36	3	8.204574107149778e-14	512088.16157671285
37	3	8.205612341216342e-14	512152.96291405096
38	3	8.206679778209603e-14	512219.5869508796
39	3	8.207776383503771e-14	512288.0315260315
40	3	8.208902123480464e-14	512358.2945412166
41	3	8.210056965418705e-14	512430.3739541566
42	3	8.211240877401856e-14	512504.26777277555
43	3	8.212453828258776e-14	512579.9740515283
44	3	8.213695787496769e-14	512657.49088721426
45	3	8.214966725237343e-14	512736.8164149685
46	3	8.216266612154268e-14	512817.94880439574
47	3	8.217595419413301e-14	512900.88625580777
48	3	8.218953118632943e-14	512985.62699777447
49	3	8.22033968185804e-14	513072.16928547603
50	3	8.221755081508071e-14	513160.5113974754
51	3	8.223199290334241e-14	513250.65163304005
52	3	8.224672281384607e-14	513342.5883099656
53	3	8.22617402797546e-14	513436.31976278947
54	3	8.227704503671202e-14	513531.8443415348
55	3	8.229263682247737e-14	513629.16040942573
56	3	8.230851537667977e-14	513728.2663413585
57	3	8.232468044052878e-14	513829.16052209353
58	3	8.234113175674918e-14	513931.84134584863
59	3	8.23578690694118e-14	514036.30721524294
60	3	8.237489212365444e-14	514142.5565395551
61	3	8.23922006655502e-14	514250.58773390134
62	3	8.240979444191851e-14	514360.3992180561
63	3	8.242767320023498e-14	514471.9894158895
64	3	8.244583668838012e-14	514585.35675379867
65	3	8.24642846545443e-14	514700.499660115
66	3	8.248301684719561e-14	514817.4165649029
67	3	8.250203301499123e-14	514936.10589940724
68	3	8.252133290656245e-14	515056.56609471125
69	3	8.254091627040215e-14	515178.79558103427
70	3	8.256078285485515e-14	515302.7927876715
71	3	8.25809324081313e-14	515428.5561430757
72	3	8.260136467813801e-14	515556.084073812
73	3	8.262207941231018e-14	515685.3750034964
74	3	8.264307635752117e-14	515816.4273522399
75	3	8.266435526018261e-14	515949.2395372718
76	3	8.268591586633478e-14	516083.80997350346
77	3	8.270775792134103e-14	516220.1370716214
78	3	8.272988116971809e-14	516358.21923702763
79	3	8.275228535525524e-14	516498.0548705841
1	4	8.184886062638232e-14	510859.33307357674
2	4	8.187169983334385e-14	511001.88389159675
3	4	8.187243386671765e-14	511006.4653579351
4	4	8.187333877951848e-14	511012.11336752726
5	4	8.187441818811122e-14	511018.85049189994
6	4	8.187575788525635e-14	511027.21220622124
7	4	8.187742182828221e-14	511037.5976998977
8	4	8.187941557783532e-14	511050.0416796822
9	4	8.18817301342122e-14	511064.48797396175
10	4	8.188435828734593e-14	511080.8915811328
11	4	8.188729534296312e-14	511099.2232019069
12	4	8.189053811415151e-14	511119.46294518415
13	4	8.189408427586341e-14	511141.5962991887
14	4	8.189793202984e-14	511165.6120400954
15	4	8.190207992687735e-14	511191.5011227038
16	4	8.190652676557837e-14	511219.25604849873
17	4	8.191127152936075e-14	511248.87047248596
18	4	8.191631334432296e-14	511280.3389402125
19	4	8.192165144952925e-14	511313.65670230094
20	4	8.192728517469292e-14	511348.8195751596
21	4	8.193321392324783e-14	511385.82383532333
22	4	8.193943715910001e-14	511424.66613676376
23	4	8.194595439635208e-14	511465.3434467543
24	4	8.195276519097378e-14	511507.85299388197
25	4	8.195986913392983e-14	511552.19222515466
26	4	8.19672658457684e-14	511598.3587722253
27	4	8.19749549719016e-14	511646.3504219351
28	4	8.19829361790651e-14	511696.165094216
29	4	8.199120915219543e-14	511747.80082260066
30	4	8.199977359173922e-14	511801.2557374279
31	4	8.200862921134332e-14	511856.5280514257
32	4	8.20177757359579e-14	511913.61604787165
33	4	8.202721290046813e-14	511972.5180720526
34	4	8.203694044820575e-14	512033.2325219748
35	4	8.204695812985647e-14	512095.7578415438
36	4	8.205726570233047e-14	512160.0925135158
37	4	8.206786292793547e-14	512226.23505433515
38	4	8.207874957379243e-14	512294.1840104884
39	4	8.208992541118751e-14	512363.937954459
40	4	8.21013902148144e-14	512435.4954799985
41	4	8.211314376212094e-14	512508.8551980486
42	4	8.212518583302351e-14	512584.01573495805
43	4	8.213751620956143e-14	512660.9757303264
44	4	8.215013467552351e-14	512739.73383467225
45	4	8.21630410160802e-14	512820.2887071378
46	4	8.217623501741032e-14	512902.6390131591
47	4	8.218971646653748e-14	512986.7834234448
48	4	8.22034851512831e-14	513072.7206136833
49	4	8.221754085992588e-14	513160.4492624167
50	4	8.22318833809405e-14	513249.96804941085
51	4	8.224651250282071e-14	513341.2756545501
52	4	8.226142801396424e-14	513434.37075711996
53	4	8.227662970261544e-14	513529.25203544815
54	4	8.229211735662714e-14	513625.91816541925
55	4	8.230789076335771e-14	513724.3678198312
56	4	8.232394970953241e-14	513824.59966753057
57	4	8.234029398131425e-14	513926.6123738547
58	4	8.235692336420322e-14	514030.4046000026
59	4	8.237383764285824e-14	514135.9750019239
60	4	8.239103660106056e-14	514243.32223009
61	4	8.240852002162492e-14	514352.4449289401
62	4	8.242628768637835e-14	514463.34173674835
63	4	8.244433937599839e-14	514576.0112846147
64	4	8.246267487004457e-14	514690.4521966606
65	4	8.248129394699083e-14	514806.66309023224
66	4	8.25001963841556e-14	514924.64257546345
67	4	8.251938195755381e-14	515044.3892543523
68	4	8.253885044189913e-14	515165.901720775
69	4	8.255860161067987e-14	515289.1785609599
70	4	8.257863523615387e-14	515414.2183534551
71	4	8.259895108919106e-14	515541.0196681463
72	4	8.26195489391968e-14	515669.5810657779
73	4	8.264042855416006e-14	515799.901098254
74	4	8.266158970082029e-14	515931.9783096799
75	4	8.268303214462691e-14	516065.811236109
76	4	8.270475564944043e-14	516201.3984036777
77	4	8.27267599775619e-14	516338.7383287889
78	4	8.2749044889969e-14	516477.8295195858
79	4	8.277161014632658e-14	516618.6704760175
1	5	8.187198253630324e-14	511003.64838097617
2	5	8.187293073898119e-14	511009.56658416154
3	5	8.187412499353867e-14	511017.0205191593
4	5	8.187556873827937e-14	511026.0316461282
5	5	8.187726172262022e-14	511036.598401055
6	5	8.187920382637644e-14	511048.7200338067
7	5	8.188139618839714e-14	511062.4036525056
8	5	8.188384178188566e-14	511077.66781438823
9	5	8.188654547042601e-14	511094.5428754947
10	5	8.188951346910183e-14	511113.06762724434
11	5	8.189275240890623e-14	511133.2834569538
12	5	8.189626841028834e-14	511155.2285653818
13	5	8.19000664941719e-14	511178.93429060344
14	5	8.19041504055448e-14	511204.42400694557
15	5	8.190852272946065e-14	511231.71384900983
16	5	8.191318513500688e-14	511260.81423439865
17	5	8.191813862954412e-14	511291.7314505494
18	5	8.192338376993653e-14	511324.4689731274
19	5	8.192892081807363e-14	511359.02843671513
20	5	8.193474984771953e-14	511395.410301711
21	5	8.194087081497628e-14	511433.614294126
22	5	8.194728360376326e-14	511473.6396894435
23	5	8.195398805482141e-14	511515.48549364874
24	5	8.196098398360372e-14	511559.1505548922
25	5	8.196827119159146e-14	511604.63363412017
26	5	8.197584947297061e-14	511651.93344674516
27	5	8.198371861896149e-14	511701.04868966964
28	5	8.199187842034336e-14	511751.9780570433
29	5	8.200032866874939e-14	511804.72024834534
30	5	8.200906915727322e-14	511859.27397217054
31	5	8.20180996807613e-14	511915.6379480539
32	5	8.202742003615799e-14	511973.81090862444
33	5	8.203703002231614e-14	512033.79159842303
34	5	8.204692943991333e-14	512095.57877337956
35	5	8.205711809113491e-14	512159.1711988348
36	5	8.206759577953976e-14	512224.5676487021
37	5	8.207836230999993e-14	512291.76690509135
38	5	8.208941748841229e-14	512360.7677565086
39	5	8.210076112126237e-14	512431.5689951339
40	5	8.211239301535755e-14	512504.16941515653
41	5	8.212431297788026e-14	512578.5678131063
42	5	8.213652081623053e-14	512654.7629868712
43	5	8.214901633782155e-14	512732.75373442157
44	5	8.216179934986338e-14	512812.5388524597
45	5	8.217486965920107e-14	512894.1171354097
46	5	8.218822707234455e-14	512977.4873756042
47	5	8.220187139542917e-14	513062.6483630377
48	5	8.221580243387965e-14	513149.59888326935
49	5	8.223001999230547e-14	513238.33771677007
50	5	8.224452387444356e-14	513328.86363856477
51	5	8.22593138831553e-14	513421.17541821336
52	5	8.227438982037222e-14	513515.2718194724
53	5	8.228975148690971e-14	513611.1515991319
54	5	8.230539868247255e-14	513708.8135070501
55	5	8.232133120562103e-14	513808.2562859418
56	5	8.233754885384197e-14	513909.47867182194
57	5	8.235405142335274e-14	514012.47939278197
58	5	8.237083870901312e-14	514117.25716844
59	5	8.23879105043264e-14	514223.8107099477
60	5	8.240526660140965e-14	514332.1387198046
61	5	8.242290679096226e-14	514442.2398916618
62	5	8.244083086219756e-14	514554.112909895
63	5	8.245903860294497e-14	514667.75645024265
64	5	8.247752979961058e-14	514783.169179559
65	5	8.249630423705552e-14	514900.34975505574
66	5	8.251536169855403e-14	515019.29682403995
67	5	8.253470196588447e-14	515140.0090244821
68	5	8.255432481936463e-14	515262.4849852366
69	5	8.257423003771726e-14	515386.7233252023
70	5	8.259441739798626e-14	515512.7226527997
71	5	8.261488667561157e-14	515640.48156643804
72	5	8.26356376445439e-14	515769.9986552316
73	5	8.265667007726778e-14	515901.27249914355
74	5	8.267798374454927e-14	516034.3016674111
75	5	8.269957841538163e-14	516169.08471820666
76	5	8.272145385724435e-14	516305.6202002544
77	5	8.274360983619742e-14	516443.90665341855
78	5	8.276604611664924e-14	516583.9426072554
79	5	8.278876246127944e-14	516725.7265805305
1	6	8.18722913352035e-14	511005.57574806514
2	6	8.1873414801672e-14	511012.58785949147
3	6	8.187479299411912e-14	511021.18984208466
4	6	8.187643537371161e-14	511031.44074767886
5	6	8.1878344698835e-14	511043.35779272614
6	6	8.18805224767445e-14	511056.9503847539
7	6	8.188296996510869e-14	511072.2263734954
8	6	8.188568842537572e-14	511089.1936322743
9	6	8.188867918168708e-14	511107.8604257142
10	6	8.189194361601067e-14	511128.2353793623
11	6	8.18954831400292e-14	511150.32730423054
12	6	8.189929916032491e-14	511174.14497949614
13	6	8.190339304423759e-14	511199.696939405
14	6	8.19077660909329e-14	511226.99129269435
15	6	8.191241950956663e-14	511256.03558630514
16	6	8.191735440474794e-14	511286.8367146509
17	6	8.192257176922349e-14	511319.40087395604
18	6	8.192807248192718e-14	511353.73355008295
19	6	8.193385731063804e-14	511389.83953512117
20	6	8.193992691783034e-14	511427.7229639013
21	6	8.194628186868975e-14	511467.3873640275
22	6	8.195292263990927e-14	511508.835710777
23	6	8.19598496286407e-14	511552.0704829713
24	6	8.196706316148887e-14	511597.09371911315
25	6	8.197456350277456e-14	511643.90706895955
26	6	8.198235086249872e-14	511692.51184323063
27	6	8.199042540315794e-14	511742.9090561481
28	6	8.199878724583013e-14	511795.0994634194
29	6	8.200743647560477e-14	511849.08359613013
30	6	8.201637314649227e-14	511904.8617913859
31	6	8.202559728558848e-14	511962.43421830557
32	6	8.203510889639206e-14	512021.80089872587
33	6	8.204490796189001e-14	512082.96172646026
34	6	8.205499444703706e-14	512145.91648277384
35	6	8.206536830115344e-14	512210.6648513491
36	6	8.207602945974057e-14	512277.2064296182
37	6	8.208697784590995e-14	512345.54073768214
38	6	8.209821337173444e-14	512415.6672267438
39	6	8.210973593965246e-14	512487.5852878731
40	6	8.21215454436307e-14	512561.2942592636
41	6	8.213364176983349e-14	512636.7934304104
42	6	8.214602479733035e-14	512714.0820465263
43	6	8.215869439871775e-14	512793.1593124228
44	6	8.217165044076588e-14	512874.0243965465
45	6	8.21848927849647e-14	512956.67643438757
46	6	8.219842128776066e-14	513041.11452995706
47	6	8.221223580080381e-14	513127.33775732946
48	6	8.222633617146077e-14	513215.34516384406
49	6	8.224072224310724e-14	513305.135771931
50	6	8.225539385538764e-14	513396.7085807315
51	6	8.227035084432261e-14	513490.0625667691
52	6	8.228559304247483e-14	513585.19668498443
53	6	8.230112027919793e-14	513682.1098702888
54	6	8.231693238077092e-14	513780.8010384035
55	6	8.233302917046136e-14	513881.2690862535
56	6	8.234941046850043e-14	513983.5128918126
57	6	8.236607609232827e-14	514087.53131563414
58	6	8.238302585668742e-14	514193.32320143445
59	6	8.24002595737261e-14	514300.8873767373
60	6	8.241777705302027e-14	514410.22265301197
61	6	8.243557810169226e-14	514521.32782641315
62	6	8.245366252447535e-14	514634.2016781844
63	6	8.247203012364905e-14	514748.84297425416
64	6	8.249068069907661e-14	514865.2504654696
65	6	8.250961404836597e-14	514983.4228886016
66	6	8.252882996692417e-14	515103.35896668397
67	6	8.254832824790807e-14	515225.05740870605
68	6	8.256810868217543e-14	515348.5169093075
69	6	8.258817105845665e-14	515473.7361498499
70	6	8.260851516346032e-14	515600.71379907575
71	6	8.262914078184351e-14	515729.4485129231
72	6	8.265004769609279e-14	515859.9389337826
73	6	8.267123568648851e-14	515992.1836902752
74	6	8.269270453143348e-14	516126.18139930273
75	6	8.271445400749586e-14	516261.93066631624
76	6	8.273648388919109e-14	516399.43008395494
77	6	8.275879394890556e-14	516538.67823156924
78	6	8.278138395713111e-14	516679.67367668496
79	6	8.280425368257231e-14	516822.41497567255
1	7	8.187263190734733e-14	511007.70142772555
2	7	8.18739235319218e-14	511015.76309729123
3	7	8.187546918537194e-14	511025.4102870585
4	7	8.187728297225941e-14	511036.7310305922
5	7	8.18793689643018e-14	511049.750741501
6	7	8.188172902824119e-14	511064.4810710482
7	7	8.188436434722273e-14	511080.92940382933
8	7	8.188727585353972e-14	511099.10155874945
9	7	8.189046437524988e-14	511119.0027041274
10	7	8.189393068912959e-14	511140.63768820977
11	7	8.189767553861792e-14	511164.01115116855
12	7	8.190169963790053e-14	511189.12755059067
13	7	8.190600367078208e-14	511215.9911544401
14	7	8.191058828743724e-14	511244.60602077947
15	7	8.19154541013399e-14	511274.9759786035
16	7	8.192060168651463e-14	511307.1046106844
17	7	8.19260315757277e-14	511340.99524228054
18	7	8.193174425974762e-14	511376.65093652165
19	7	8.193774018718275e-14	511414.07449339493
20	7	8.19440197650274e-14	511453.26845315384
21	7	8.195058335956172e-14	511494.2351019344
22	7	8.195743129811815e-14	511536.97648278065
23	7	8.196456387089804e-14	511581.49440698326
24	7	8.197198133304677e-14	511627.790467031
25	7	8.197968390677968e-14	511675.86604988005
26	7	8.19876717833838e-14	511725.7223494476
27	7	8.199594512552178e-14	511777.360380992
28	7	8.200450406934842e-14	511830.7809943229
29	7	8.201334872650212e-14	511885.9848862308
30	7	8.202247918572447e-14	511942.972610596
31	7	8.20318955147445e-14	512001.744590149
32	7	8.20415977620021e-14	512062.3011272273
33	7	8.205158595817793e-14	512124.6424133239
34	7	8.206186011764893e-14	512188.7685381726
35	7	8.207242023958852e-14	512254.67949661415
36	7	8.208326630926062e-14	512322.3751966734
37	7	8.209439829926505e-14	512391.8554673323
38	7	8.210581617049092e-14	512463.12006448035
39	7	8.211751987274275e-14	512536.1686748228
40	7	8.212950934549432e-14	512611.00092058524
41	7	8.214178451878226e-14	512687.61636509164
42	7	8.215434531389807e-14	512766.0145170834
43	7	8.216719164400197e-14	512846.19483455026
44	7	8.218032341454335e-14	512928.1567273549
45	7	8.21937405237018e-14	513011.8995599858
46	7	8.220744286305296e-14	513097.4226557126
47	7	8.222143031798131e-14	513184.7252991631
48	7	8.223570276788373e-14	513273.8067375934
49	7	8.225026008646504e-14	513364.66618273256
50	7	8.226510214202784e-14	513457.30281259184
51	7	8.228022879786743e-14	513551.71577392943
52	7	8.22956399124599e-14	513647.9041834245
53	7	8.231133533966848e-14	513745.8671289648
54	7	8.23273149288945e-14	513845.60367058945
55	7	8.234357852540216e-14	513947.1128425156
56	7	8.236012597055434e-14	514050.3936546102
57	7	8.237695710182727e-14	514155.44509248197
58	7	8.239407175297297e-14	514262.2661184946
59	7	8.241146975411208e-14	514370.85567234695
60	7	8.242915093191924e-14	514481.21267222933
61	7	8.244711510963204e-14	514593.33601488
62	7	8.246536210720973e-14	514707.2245765753
63	7	8.248389174152678e-14	514822.8772143379
64	7	8.250270382645328e-14	514940.29276643874
65	7	8.252179817281018e-14	515059.47005211766
66	7	8.254117458846359e-14	515180.4078721716
67	7	8.256083287849949e-14	515303.10501004563
68	7	8.258077284533214e-14	515427.5602325091
69	7	8.260099428862512e-14	515553.77228916297
70	7	8.262149700529135e-14	515681.73991244024
71	7	8.26422807896212e-14	515811.4618184049
72	7	8.266334543351525e-14	515942.9367082054
73	7	8.268469072651241e-14	516076.1632682496
74	7	8.270631645553498e-14	516211.14016861387
75	7	8.272822240498715e-14	516347.866063658
76	7	8.275040835706e-14	516486.33959392825
77	7	8.277287409177623e-14	516626.5593864374
78	7	8.27956193868617e-14	516768.52405386226
79	7	8.281864401765714e-14	516912.2321939928
1	8	8.187300546058292e-14	511010.032958737
2	8	8.187446355316034e-14	511019.13363767084
3	8	8.187617108347382e-14	511029.79118122696
4	8	8.187814723017909e-14	511042.1252929077
5	8	8.188039752969208e-14	511056.1705282308
6	8	8.188292435126473e-14	511071.9416748726
7	8	8.188572900509523e-14	511089.44691042975
8	8	8.188881237098185e-14	511108.69172615965
9	8	8.189217512839786e-14	511129.6803629921
10	8	8.189581785167535e-14	511152.4164056183
11	8	8.189974105261457e-14	511176.9030484376
12	8	8.190394520019765e-14	511203.14321859996
13	8	8.190843073016441e-14	511231.13963577384
14	8	8.191319804953767e-14	511260.8948403904
15	8	8.19182475386729e-14	511292.41120643687
16	8	8.192357955244464e-14	511325.6909488612
17	8	8.192919442060986e-14	511360.73612584017
18	8	8.193509244825706e-14	511397.5486415825
19	8	8.194127391626498e-14	511436.1302491916
20	8	8.19477390819066e-14	511476.48255443585
21	8	8.19544881794018e-14	511518.60701919755
22	8	8.196152142040279e-14	511562.50496450334
23	8	8.196883899489795e-14	511608.1775761647
24	8	8.19764410719009e-14	511655.6259090795
25	8	8.198432780053816e-14	511704.8508940204
26	8	8.199249931087742e-14	511755.8533428043
27	8	8.200095571473747e-14	511808.63395334774
28	8	8.200969710660059e-14	511863.1933153615
29	8	8.201872356459888e-14	511919.53191650676
30	8	8.202803515154048e-14	511977.6501488003
31	8	8.203763191550364e-14	512037.54831232224
32	8	8.204751389069193e-14	512099.22662055405
33	8	8.205768109810332e-14	512162.6852045546
34	8	8.206813354638893e-14	512227.9241183196
35	8	8.207887123259557e-14	512294.9433434169
36	8	8.20898941426677e-14	512363.7427921189
37	8	8.210120225195566e-14	512434.3223105747
38	8	8.21127955259246e-14	512506.68168323534
39	8	8.212467392092776e-14	512580.82063767966
40	8	8.213683738456917e-14	512656.73884687846
41	8	8.214928585606595e-14	512734.4359314556
42	8	8.216201926663616e-14	512813.91146210884
43	8	8.217503753994457e-14	512895.1649623923
44	8	8.21883405926035e-14	512978.19591184205
45	8	8.220192833445933e-14	513063.00374776445
46	8	8.221580066870548e-14	513149.58786594187
47	8	8.222995749231945e-14	513237.94762335974
48	8	8.224439869641821e-14	513328.082340425
49	8	8.225912416656586e-14	513419.99130288645
50	8	8.227413378295392e-14	513513.67376296
51	8	8.228942742052282e-14	513609.12894008675
52	8	8.230500494926505e-14	513706.35602282546
53	8	8.232086623442006e-14	513805.35417006863
54	8	8.233701113667904e-14	513906.122512321
55	8	8.235343951217342e-14	514008.6601516273
